allele1,allele2,similarity,overlap
A2301,B2706,nan,0
A2301,B1503,0.78102189781,137
A2301,B8101,0.333333333333,9
A2301,A3101,0.837719298246,456
A2301,B2705,0.886731391586,309
A2301,B60,nan,0
A2301,A24,nan,0
A2301,A26,nan,0
A2301,B3701,0.705882352941,17
A2301,B1517,0.880319148936,376
A2301,A3215,0.0,1
A2301,B4506,0.95,20
A2301,B4501,0.882978723404,282
A2301,B1801,0.884450784593,701
A2301,B5101,0.944992947814,709
A2301,B5401,0.88,275
A2301,A0302,nan,0
A2301,A0301,0.877128953771,822
A2301,A11,0.0,4
A2301,A1,nan,0
A2301,B4002,0.844357976654,257
A2301,A3,nan,0
A2301,A2,0.0,3
A2301,A6802,0.843843843844,666
A2301,A6801,0.864864864865,296
A2301,A3001,0.767605633803,284
A2301,A3002,0.689880304679,919
A2301,Cw1,nan,0
A2301,C0501,0.6,10
A2301,C1203,0.153846153846,13
A2301,Cw4,nan,0
A2301,A0319,nan,0
A2301,B5301,0.840625,320
A2301,A2601,0.837173579109,1302
A2301,A2602,0.223880597015,67
A2301,A2603,0.239130434783,46
A2301,A8001,0.944711538462,416
A2301,B4403,0.850694444444,288
A2301,B4402,0.877659574468,376
A2301,B3801,0.946428571429,56
A2301,B4013,nan,0
A0217,C1502,nan,0
A0217,A2301,0.0,1
A0217,A0217,1.0,170
A0217,A0216,nan,0
A0217,A0211,0.6,5
A0217,A0210,nan,0
A0217,A0212,0.6,5
A0217,B51,nan,0
A0217,A0219,0.6,5
A0217,B4001,1.0,1
A0217,A6901,1.0,5
A0217,C0401,0.0,1
A0217,B1542,0.0,1
A0217,C0602,0.0,1
A0217,B7301,nan,0
A0217,B5801,0.25,4
A0217,B5802,nan,0
A0217,B0702,0.5,4
A0217,B3503,nan,0
A0217,B3501,0.6,5
A0217,A0206,0.588235294118,68
A0217,A0207,nan,0
A0217,A0204,nan,0
A0217,A0205,nan,0
A0217,A0202,1.0,1
A0217,A0203,0.518072289157,83
A0217,A0201,0.570588235294,170
A0217,C0802,0.5,2
A0217,B3901,0.5,2
A0217,B7,nan,0
A0217,B8,nan,0
A0217,B4601,1.0,2
A0217,B2720,nan,0
A0217,A6601,nan,0
A0217,C1402,1.0,1
A0217,B2710,nan,0
A0217,B5201,nan,0
A0217,A0101,0.444444444444,9
A0217,E0101,nan,0
A0217,A2402,0.583333333333,12
A0217,A2403,0.5,2
A0217,B1401,nan,0
A0217,B1402,nan,0
A0217,A3301,nan,0
A0217,A3/11,nan,0
A0217,A6823,nan,0
A0217,B4801,nan,0
A0217,C0702,1.0,2
A0217,B4201,nan,0
A0217,B2704,nan,0
A0217,B4202,nan,0
A0217,B2702,nan,0
A0217,B2703,nan,0
A0217,B2701,nan,0
A0217,A7401,nan,0
A0217,B8301,0.0,1
A0217,A1102,nan,0
A0217,A1101,0.5,2
A0217,B0803,1.0,1
A0217,B0802,0.5,2
A0217,B0801,0.647058823529,17
A0217,B5703,nan,0
A0217,B5702,nan,0
A0217,B5701,0.5,2
A0217,A2902,nan,0
A0217,C0303,nan,0
A0217,A0250,nan,0
A0217,A3207,nan,0
A0217,A2501,nan,0
A0217,B1501,0.7,10
A0217,A3201,0.5,14
A0217,B1502,nan,0
A0217,B1509,0.5,2
A0217,E0103,nan,0
A0217,B2706,nan,0
A0217,B1503,nan,0
A0217,B8101,nan,0
A0217,A3101,0.5,2
A0217,B2705,0.333333333333,3
A0217,B60,nan,0
A0217,A24,nan,0
A0217,A26,nan,0
A0217,B3701,nan,0
A0217,B1517,1.0,2
A0217,A3215,1.0,1
A0217,B4506,0.0,1
A0217,B4501,nan,0
A0217,B1801,0.5,2
A0217,B5101,0.0,1
A0217,B5401,nan,0
A0217,A0302,nan,0
A0217,A0301,0.333333333333,3
A0217,A11,nan,0
A0217,A1,nan,0
A0217,B4002,nan,0
A0217,A3,nan,0
A0217,A2,nan,0
A0217,A6802,0.47619047619,21
A0217,A6801,nan,0
A0217,A3001,0.75,4
A0217,A3002,nan,0
A0217,Cw1,nan,0
A0217,C0501,0.0,1
A0217,C1203,nan,0
A0217,Cw4,nan,0
A0217,A0319,nan,0
A0217,B5301,nan,0
A0217,A2601,0.5,6
A0217,A2602,0.5,2
A0217,A2603,0.5,2
A0217,A8001,nan,0
A0217,B4403,nan,0
A0217,B4402,1.0,1
A0217,B3801,nan,0
A0217,B4013,nan,0
A0216,C1502,0.555555555556,9
A0216,A2301,0.955271565495,313
A0216,A0217,nan,0
A0216,A0216,1.0,917
A0216,A0211,0.939233817701,757
A0216,A0210,nan,0
A0216,A0212,0.954022988506,783
A0216,B51,nan,0
A0216,A0219,0.94246260069,869
A0216,B4001,0.711229946524,187
A0216,A6901,0.871313672922,746
A0216,C0401,0.836734693878,49
A0216,B1542,0.909090909091,22
A0216,C0602,0.4,10
A0216,B7301,0.0,1
A0216,B5801,0.781094527363,201
A0216,B5802,nan,0
A0216,B0702,0.652173913043,230
A0216,B3503,0.0,1
A0216,B3501,0.709677419355,155
A0216,A0206,0.893103448276,290
A0216,A0207,nan,0
A0216,A0204,nan,0
A0216,A0205,nan,0
A0216,A0202,1.0,10
A0216,A0203,0.949938949939,819
A0216,A0201,0.942726231386,873
A0216,C0802,1.0,5
A0216,B3901,0.908629441624,591
A0216,B7,nan,0
A0216,B8,nan,0
A0216,B4601,0.954344624448,679
A0216,B2720,0.0,2
A0216,A6601,0.894736842105,19
A0216,C1402,0.111111111111,9
A0216,B2710,nan,0
A0216,B5201,nan,0
A0216,A0101,0.744769874477,239
A0216,E0101,0.0,1
A0216,A2402,0.442307692308,52
A0216,A2403,0.94398340249,482
A0216,B1401,nan,0
A0216,B1402,1.0,20
A0216,A3301,0.2,5
A0216,A3/11,nan,0
A0216,A6823,0.2,5
A0216,B4801,0.989583333333,96
A0216,C0702,0.142857142857,14
A0216,B4201,nan,0
A0216,B2704,nan,0
A0216,B4202,nan,0
A0216,B2702,nan,0
A0216,B2703,0.974446337308,587
A0216,B2701,nan,0
A0216,A7401,nan,0
A0216,B8301,0.85,20
A0216,A1102,nan,0
A0216,A1101,0.72972972973,185
A0216,B0803,0.636363636364,11
A0216,B0802,0.508771929825,57
A0216,B0801,0.578571428571,140
A0216,B5703,nan,0
A0216,B5702,nan,0
A0216,B5701,0.932824427481,655
A0216,A2902,0.902953586498,474
A0216,C0303,0.461538461538,13
A0216,A0250,1.0,46
A0216,A3207,0.333333333333,6
A0216,A2501,0.966131907308,561
A0216,B1501,0.886725663717,565
A0216,A3201,1.0,1
A0216,B1502,1.0,1
A0216,B1509,0.685714285714,35
A0216,E0103,nan,0
A0216,B2706,nan,0
A0216,B1503,0.0,1
A0216,B8101,nan,0
A0216,A3101,0.74251497006,167
A0216,B2705,0.798994974874,199
A0216,B60,nan,0
A0216,A24,nan,0
A0216,A26,nan,0
A0216,B3701,1.0,2
A0216,B1517,0.932668329177,401
A0216,A3215,0.5,6
A0216,B4506,0.909090909091,22
A0216,B4501,0.6,5
A0216,B1801,0.918660287081,627
A0216,B5101,0.952296819788,566
A0216,B5401,0.5,4
A0216,A0302,nan,0
A0216,A0301,0.885630498534,682
A0216,A11,nan,0
A0216,A1,nan,0
A0216,B4002,0.333333333333,3
A0216,A3,nan,0
A0216,A2,nan,0
A0216,A6802,0.946058091286,482
A0216,A6801,0.2,5
A0216,A3001,0.436363636364,55
A0216,A3002,0.869565217391,23
A0216,Cw1,nan,0
A0216,C0501,0.590909090909,22
A0216,C1203,0.333333333333,15
A0216,Cw4,nan,0
A0216,A0319,nan,0
A0216,B5301,0.916666666667,24
A0216,A2601,0.909238249595,617
A0216,A2602,0.5,2
A0216,A2603,0.0,2
A0216,A8001,0.920760697306,631
A0216,B4403,0.6,5
A0216,B4402,0.853107344633,177
A0216,B3801,nan,0
A0216,B4013,0.5,2
A0211,C1502,0.5,8
A0211,A2301,0.905292479109,359
A0211,A0217,0.6,5
A0211,A0216,0.939233817701,757
A0211,A0211,1.0,1082
A0211,A0210,0.933333333333,15
A0211,A0212,0.908207343413,926
A0211,B51,nan,0
A0211,A0219,0.885863874346,955
A0211,B4001,0.554744525547,274
A0211,A6901,0.78023255814,860
A0211,C0401,0.55737704918,61
A0211,B1542,0.484848484848,33
A0211,C0602,0.375,24
A0211,B7301,0.0,1
A0211,B5801,0.601374570447,291
A0211,B5802,nan,0
A0211,B0702,0.534954407295,329
A0211,B3503,0.0,2
A0211,B3501,0.51832460733,191
A0211,A0206,0.891304347826,414
A0211,A0207,nan,0
A0211,A0204,nan,0
A0211,A0205,nan,0
A0211,A0202,0.923076923077,26
A0211,A0203,0.906581740977,942
A0211,A0201,0.893982808023,1047
A0211,C0802,0.578947368421,19
A0211,B3901,0.860162601626,615
A0211,B7,nan,0
A0211,B8,nan,0
A0211,B4601,0.879360465116,688
A0211,B2720,0.666666666667,6
A0211,A6601,0.888888888889,18
A0211,C1402,0.555555555556,9
A0211,B2710,nan,0
A0211,B5201,nan,0
A0211,A0101,0.546296296296,324
A0211,E0101,0.0,1
A0211,A2402,0.38961038961,77
A0211,A2403,0.862962962963,540
A0211,B1401,nan,0
A0211,B1402,1.0,18
A0211,A3301,0.35,20
A0211,A3/11,nan,0
A0211,A6823,0.5,8
A0211,B4801,0.918032786885,122
A0211,C0702,0.2,15
A0211,B4201,nan,0
A0211,B2704,nan,0
A0211,B4202,nan,0
A0211,B2702,nan,0
A0211,B2703,0.911458333333,576
A0211,B2701,nan,0
A0211,A7401,nan,0
A0211,B8301,0.41935483871,31
A0211,A1102,nan,0
A0211,A1101,0.55303030303,264
A0211,B0803,0.384615384615,13
A0211,B0802,0.504761904762,105
A0211,B0801,0.561320754717,212
A0211,B5703,nan,0
A0211,B5702,nan,0
A0211,B5701,0.861313868613,685
A0211,A2902,0.816367265469,501
A0211,C0303,0.51724137931,29
A0211,A0250,0.990654205607,107
A0211,A3207,0.714285714286,7
A0211,A2501,0.852292020374,589
A0211,B1501,0.759036144578,664
A0211,A3201,1.0,1
A0211,B1502,0.75,4
A0211,B1509,0.639534883721,86
A0211,E0103,nan,0
A0211,B2706,nan,0
A0211,B1503,0.5,2
A0211,B8101,nan,0
A0211,A3101,0.588235294118,238
A0211,B2705,0.613475177305,282
A0211,B60,nan,0
A0211,A24,nan,0
A0211,A26,nan,0
A0211,B3701,1.0,2
A0211,B1517,0.835164835165,455
A0211,A3215,0.625,8
A0211,B4506,0.484848484848,33
A0211,B4501,0.571428571429,7
A0211,B1801,0.821538461538,650
A0211,B5101,0.888707037643,611
A0211,B5401,0.5,8
A0211,A0302,nan,0
A0211,A0301,0.76501305483,766
A0211,A11,nan,0
A0211,A1,nan,0
A0211,B4002,0.4,5
A0211,A3,nan,0
A0211,A2,nan,0
A0211,A6802,0.888198757764,483
A0211,A6801,0.3,20
A0211,A3001,0.433333333333,150
A0211,A3002,0.8,25
A0211,Cw1,nan,0
A0211,C0501,0.666666666667,30
A0211,C1203,0.75,24
A0211,Cw4,nan,0
A0211,A0319,0.75,4
A0211,B5301,0.846153846154,26
A0211,A2601,0.75,708
A0211,A2602,0.1,40
A0211,A2603,0.217391304348,23
A0211,A8001,0.857142857143,630
A0211,B4403,0.571428571429,7
A0211,B4402,0.685714285714,210
A0211,B3801,0.828571428571,35
A0211,B4013,1.0,3
A0210,C1502,nan,0
A0210,A2301,1.0,16
A0210,A0217,nan,0
A0210,A0216,nan,0
A0210,A0211,0.933333333333,15
A0210,A0210,1.0,18
A0210,A0212,0.9375,16
A0210,B51,nan,0
A0210,A0219,1.0,16
A0210,B4001,1.0,18
A0210,A6901,0.846153846154,13
A0210,C0401,1.0,2
A0210,B1542,1.0,2
A0210,C0602,nan,0
A0210,B7301,nan,0
A0210,B5801,0.833333333333,18
A0210,B5802,nan,0
A0210,B0702,0.941176470588,17
A0210,B3503,nan,0
A0210,B3501,0.0,3
A0210,A0206,0.916666666667,12
A0210,A0207,nan,0
A0210,A0204,nan,0
A0210,A0205,nan,0
A0210,A0202,nan,0
A0210,A0203,1.0,11
A0210,A0201,0.9375,16
A0210,C0802,nan,0
A0210,B3901,1.0,11
A0210,B7,nan,0
A0210,B8,nan,0
A0210,B4601,1.0,9
A0210,B2720,nan,0
A0210,A6601,nan,0
A0210,C1402,nan,0
A0210,B2710,nan,0
A0210,B5201,nan,0
A0210,A0101,0.733333333333,15
A0210,E0101,nan,0
A0210,A2402,nan,0
A0210,A2403,1.0,18
A0210,B1401,nan,0
A0210,B1402,nan,0
A0210,A3301,nan,0
A0210,A3/11,nan,0
A0210,A6823,0.0,2
A0210,B4801,1.0,11
A0210,C0702,nan,0
A0210,B4201,nan,0
A0210,B2704,nan,0
A0210,B4202,nan,0
A0210,B2702,nan,0
A0210,B2703,nan,0
A0210,B2701,nan,0
A0210,A7401,nan,0
A0210,B8301,0.5,2
A0210,A1102,nan,0
A0210,A1101,0.923076923077,13
A0210,B0803,1.0,1
A0210,B0802,1.0,11
A0210,B0801,1.0,12
A0210,B5703,nan,0
A0210,B5702,nan,0
A0210,B5701,0.882352941176,17
A0210,A2902,0.333333333333,15
A0210,C0303,nan,0
A0210,A0250,1.0,13
A0210,A3207,0.0,1
A0210,A2501,0.117647058824,17
A0210,B1501,0.375,16
A0210,A3201,nan,0
A0210,B1502,nan,0
A0210,B1509,1.0,11
A0210,E0103,nan,0
A0210,B2706,nan,0
A0210,B1503,nan,0
A0210,B8101,nan,0
A0210,A3101,1.0,12
A0210,B2705,1.0,14
A0210,B60,nan,0
A0210,A24,nan,0
A0210,A26,nan,0
A0210,B3701,nan,0
A0210,B1517,0.538461538462,13
A0210,A3215,0.0,1
A0210,B4506,1.0,2
A0210,B4501,nan,0
A0210,B1801,0.8,10
A0210,B5101,1.0,18
A0210,B5401,nan,0
A0210,A0302,nan,0
A0210,A0301,1.0,13
A0210,A11,nan,0
A0210,A1,nan,0
A0210,B4002,nan,0
A0210,A3,nan,0
A0210,A2,nan,0
A0210,A6802,0.0,1
A0210,A6801,nan,0
A0210,A3001,1.0,17
A0210,A3002,nan,0
A0210,Cw1,nan,0
A0210,C0501,nan,0
A0210,C1203,nan,0
A0210,Cw4,nan,0
A0210,A0319,nan,0
A0210,B5301,nan,0
A0210,A2601,0.0,13
A0210,A2602,0.0,10
A0210,A2603,0.0,4
A0210,A8001,0.705882352941,17
A0210,B4403,nan,0
A0210,B4402,1.0,12
A0210,B3801,1.0,10
A0210,B4013,nan,0
A0212,C1502,0.5625,16
A0212,A2301,0.90625,416
A0212,A0217,0.6,5
A0212,A0216,0.954022988506,783
A0212,A0211,0.908207343413,926
A0212,A0210,0.9375,16
A0212,A0212,1.0,1181
A0212,B51,nan,0
A0212,A0219,0.94691943128,1055
A0212,B4001,0.611111111111,252
A0212,A6901,0.823857302118,897
A0212,C0401,0.774647887324,71
A0212,B1542,0.72972972973,37
A0212,C0602,0.619047619048,21
A0212,B7301,nan,0
A0212,B5801,0.640625,256
A0212,B5802,nan,0
A0212,B0702,0.58785942492,313
A0212,B3503,0.0,1
A0212,B3501,0.485074626866,134
A0212,A0206,0.836021505376,372
A0212,A0207,nan,0
A0212,A0204,nan,0
A0212,A0205,nan,0
A0212,A0202,0.952380952381,21
A0212,A0203,0.931615460852,1009
A0212,A0201,0.947463768116,1104
A0212,C0802,0.55,20
A0212,B3901,0.913333333333,750
A0212,B7,nan,0
A0212,B8,nan,0
A0212,B4601,0.915934755332,797
A0212,B2720,0.25,4
A0212,A6601,0.742857142857,35
A0212,C1402,0.352941176471,17
A0212,B2710,nan,0
A0212,B5201,nan,0
A0212,A0101,0.596610169492,295
A0212,E0101,0.0,1
A0212,A2402,0.5,72
A0212,A2403,0.895962732919,644
A0212,B1401,nan,0
A0212,B1402,0.828571428571,35
A0212,A3301,0.444444444444,18
A0212,A3/11,nan,0
A0212,A6823,0.272727272727,11
A0212,B4801,0.955056179775,89
A0212,C0702,0.117647058824,17
A0212,B4201,nan,0
A0212,B2704,nan,0
A0212,B4202,nan,0
A0212,B2702,nan,0
A0212,B2703,0.934579439252,749
A0212,B2701,nan,0
A0212,A7401,nan,0
A0212,B8301,0.676470588235,34
A0212,A1102,nan,0
A0212,A1101,0.588709677419,248
A0212,B0803,0.714285714286,14
A0212,B0802,0.669902912621,103
A0212,B0801,0.686567164179,201
A0212,B5703,nan,0
A0212,B5702,nan,0
A0212,B5701,0.88375,800
A0212,A2902,0.793286219081,566
A0212,C0303,0.296296296296,27
A0212,A0250,0.938775510204,98
A0212,A3207,0.4,10
A0212,A2501,0.872586872587,777
A0212,B1501,0.81446111869,733
A0212,A3201,1.0,1
A0212,B1502,0.5,2
A0212,B1509,0.833333333333,72
A0212,E0103,nan,0
A0212,B2706,nan,0
A0212,B1503,0.0,1
A0212,B8101,nan,0
A0212,A3101,0.612244897959,196
A0212,B2705,0.657370517928,251
A0212,B60,nan,0
A0212,A24,nan,0
A0212,A26,nan,0
A0212,B3701,1.0,1
A0212,B1517,0.843806104129,557
A0212,A3215,0.454545454545,11
A0212,B4506,0.72972972973,37
A0212,B4501,0.6,5
A0212,B1801,0.865535248042,766
A0212,B5101,0.906768837803,783
A0212,B5401,0.4,5
A0212,A0302,nan,0
A0212,A0301,0.807916181607,859
A0212,A11,nan,0
A0212,A1,nan,0
A0212,B4002,0.5,4
A0212,A3,nan,0
A0212,A2,nan,0
A0212,A6802,0.914930555556,576
A0212,A6801,0.333333333333,18
A0212,A3001,0.593939393939,165
A0212,A3002,0.75,36
A0212,Cw1,nan,0
A0212,C0501,0.620689655172,29
A0212,C1203,0.521739130435,23
A0212,Cw4,nan,0
A0212,A0319,0.75,4
A0212,B5301,0.756097560976,41
A0212,A2601,0.817660550459,872
A0212,A2602,0.176470588235,51
A0212,A2603,0.291666666667,24
A0212,A8001,0.861333333333,750
A0212,B4403,0.6,5
A0212,B4402,0.727272727273,176
A0212,B3801,0.93023255814,43
A0212,B4013,0.4,5
B51,C1502,nan,0
B51,A2301,nan,0
B51,A0217,nan,0
B51,A0216,nan,0
B51,A0211,nan,0
B51,A0210,nan,0
B51,A0212,nan,0
B51,B51,1.0,1
B51,A0219,nan,0
B51,B4001,nan,0
B51,A6901,nan,0
B51,C0401,nan,0
B51,B1542,nan,0
B51,C0602,nan,0
B51,B7301,nan,0
B51,B5801,nan,0
B51,B5802,nan,0
B51,B0702,nan,0
B51,B3503,nan,0
B51,B3501,nan,0
B51,A0206,nan,0
B51,A0207,nan,0
B51,A0204,nan,0
B51,A0205,nan,0
B51,A0202,nan,0
B51,A0203,nan,0
B51,A0201,nan,0
B51,C0802,nan,0
B51,B3901,nan,0
B51,B7,nan,0
B51,B8,nan,0
B51,B4601,nan,0
B51,B2720,nan,0
B51,A6601,nan,0
B51,C1402,nan,0
B51,B2710,nan,0
B51,B5201,nan,0
B51,A0101,nan,0
B51,E0101,nan,0
B51,A2402,nan,0
B51,A2403,nan,0
B51,B1401,nan,0
B51,B1402,nan,0
B51,A3301,nan,0
B51,A3/11,nan,0
B51,A6823,nan,0
B51,B4801,nan,0
B51,C0702,nan,0
B51,B4201,nan,0
B51,B2704,nan,0
B51,B4202,nan,0
B51,B2702,nan,0
B51,B2703,nan,0
B51,B2701,nan,0
B51,A7401,nan,0
B51,B8301,nan,0
B51,A1102,nan,0
B51,A1101,nan,0
B51,B0803,nan,0
B51,B0802,nan,0
B51,B0801,nan,0
B51,B5703,nan,0
B51,B5702,nan,0
B51,B5701,nan,0
B51,A2902,nan,0
B51,C0303,nan,0
B51,A0250,nan,0
B51,A3207,nan,0
B51,A2501,nan,0
B51,B1501,nan,0
B51,A3201,nan,0
B51,B1502,nan,0
B51,B1509,nan,0
B51,E0103,nan,0
B51,B2706,nan,0
B51,B1503,nan,0
B51,B8101,nan,0
B51,A3101,nan,0
B51,B2705,nan,0
B51,B60,nan,0
B51,A24,nan,0
B51,A26,nan,0
B51,B3701,nan,0
B51,B1517,nan,0
B51,A3215,nan,0
B51,B4506,nan,0
B51,B4501,nan,0
B51,B1801,nan,0
B51,B5101,nan,0
B51,B5401,nan,0
B51,A0302,nan,0
B51,A0301,nan,0
B51,A11,nan,0
B51,A1,nan,0
B51,B4002,nan,0
B51,A3,nan,0
B51,A2,nan,0
B51,A6802,nan,0
B51,A6801,nan,0
B51,A3001,nan,0
B51,A3002,nan,0
B51,Cw1,1.0,1
B51,C0501,nan,0
B51,C1203,nan,0
B51,Cw4,nan,0
B51,A0319,nan,0
B51,B5301,nan,0
B51,A2601,nan,0
B51,A2602,nan,0
B51,A2603,nan,0
B51,A8001,nan,0
B51,B4403,nan,0
B51,B4402,nan,0
B51,B3801,nan,0
B51,B4013,nan,0
A0219,C1502,0.611111111111,18
A0219,A2301,0.963325183374,409
A0219,A0217,0.6,5
A0219,A0216,0.94246260069,869
A0219,A0211,0.885863874346,955
A0219,A0210,1.0,16
A0219,A0212,0.94691943128,1055
A0219,B51,nan,0
A0219,A0219,1.0,1242
A0219,B4001,0.777777777778,288
A0219,A6901,0.878691983122,948
A0219,C0401,0.794520547945,73
A0219,B1542,0.783783783784,37
A0219,C0602,0.541666666667,24
A0219,B7301,nan,0
A0219,B5801,0.805825242718,309
A0219,B5802,nan,0
A0219,B0702,0.723837209302,344
A0219,B3503,0.0,2
A0219,B3501,0.713513513514,185
A0219,A0206,0.805418719212,406
A0219,A0207,nan,0
A0219,A0204,nan,0
A0219,A0205,nan,0
A0219,A0202,0.833333333333,24
A0219,A0203,0.946728971963,1070
A0219,A0201,0.925699300699,1144
A0219,C0802,0.578947368421,19
A0219,B3901,0.919230769231,780
A0219,B7,nan,0
A0219,B8,nan,0
A0219,B4601,0.969837587007,862
A0219,B2720,0.4,5
A0219,A6601,0.9375,32
A0219,C1402,0.315789473684,19
A0219,B2710,nan,0
A0219,B5201,nan,0
A0219,A0101,0.763532763533,351
A0219,E0101,0.0,1
A0219,A2402,0.575342465753,73
A0219,A2403,0.954911433172,621
A0219,B1401,nan,0
A0219,B1402,1.0,33
A0219,A3301,0.4,15
A0219,A3/11,nan,0
A0219,A6823,0.111111111111,9
A0219,B4801,0.986577181208,149
